video_name,video_id,like_count,view_count,comment_count
Chip Conley: Measuring what makes life worthwhile,1QUF5QfnIbc,1286,91605,95
Marian Bantjes: Intricate beauty by design,MkS-u32xfGc,576,47629,131
Charles Leadbeater: Education innovation in the slums,6X-8TA4RBog,638,85822,56
Aditi Shankardass: A second opinion on developmental disorders,dBxvZwJZgdM,871,62833,101
Hillel Cooperman: Legos for grownups,KElS5nZD5yc,946,157359,165
Clay Shirky: How cognitive surplus will change the world,qu7ZpWecIS8,1106,121351,0
Ellen Dunham-Jones: Retrofitting suburbia,J_uTsrxfYWQ,480,45654,73
Stephen Palumbi: Hidden toxins in the fish we eat,ooAIIeo4AJQ,415,48789,39
Carter Emmart: A 3D atlas of the universe,MlOjSQeO1Dg,25641,1878129,1155
"Mitchell Joachim: Don't build your home, grow it!",Rw9s0ivfn3w,713,77364,233
Benoit Mandelbrot: Fractals and the art of roughness,wQTnVEXAtBY,725,47515,32
Ellen  Gustafson: Obesity + hunger = 1 global food issue,Z7CtKDNf2RI,524,57124,205
Nalini Nadkarni: Life science in prison,1BS-XUntiLg,309,26428,142
"Hans Rosling: Global population growth, box by box",fTznEIZRkLg,15356,1743119,0
Carl Safina: The oil spill's unseen villains -- and victims,3Lmj-v8N8hE,17,906,1
Matt Ridley: When ideas have sex,OLHh9E5ilZ4,4212,401637,269
Ethan Zuckerman: Listening to global voices,vXPJVwwEmiM,595,59411,0
Elif Shafak: The politics of fiction,Zq7QPnqLoUk,8355,426092,399
Julian Assange: Why the world needs WikiLeaks,HNOnvp5t7Do,17732,739016,1931
Naif Al-Mutawa: Superheroes inspired by Islam,_K095wuE_eE,1458,135164,540
Dimitar Sasselov: How we found hundreds of potential Earth-like planets,F8bM8K7W_R8,976,106859,175
Tan Le: A headset that reads your brainwaves,fVhggGSjXVg,2819,378029,681
Kevin Stone: The bio-future of joint replacement,DL0_gcP15Ts,776,103485,115
Sheena Iyengar: The art of choosing,lDq9-QxvsNU,14810,1008506,711
Susan Shaw: The oil spill's toxic trade-off,ZodPx-bZPuI,13,2776,4
Jeff Bezos: What matters more than your talents,0OWxZplQ3g4,116,9420,2
John Delaney: Wiring an interactive ocean,b0_VSkoZvaE,246,25564,58
Laurie Santos: A monkey economy as irrational as ours,DUd8XA-5HEk,2859,199460,304
Lewis Pugh: My mind-shifting Everest swim,QISHX5UKky0,1085,148812,127
Jason Clay: How big brands can help save biodiversity,jcp5vvxtEaU,628,66980,90
Sheryl WuDunn: Our century's greatest injustice,hFgPtuzgw4o,1963,180729,553
Diane J. Savino: The case for same-sex marriage,3Vzj7HFGBvI,71,7229,6
"Peter Molyneux: Meet Milo, the virtual boy",Uieh3RfkCng,737,163444,493
Jamil Abu-Wardeh: The Axis of Evil Middle East Comedy Tour,GqnJFm1C-3c,2088,462587,167
Maz Jobrani: Did you hear the one about the Iranian-American?,RmXiItk49Gw,43112,4425073,1744
Seth Priebatsch: The game layer on top of the world,Yn9fTc_WMbo,1019,104185,175
David McCandless: The beauty of data visualization,5Zg-C8AAIGg,19250,1496816,383
Lee Hotz: Inside an Antarctic time machine,__zRf_JTNW4,348,28649,97
Jeremy Rifkin: The empathic civilization,l7AWnfFRc7g,29658,3282903,2780
Jim Toomey: Learning from Sherman the shark,WF6-De4U-vE,276,34044,41
Lisa Margonelli: The political chemistry of oil,X-85KAYKOT4,268,19086,114
Dan Cobley: What physics taught me about marketing,8cwW_S29faQ,1324,189953,143
Nic Marks: The Happy Planet Index,M1o3FS0awtk,2640,268895,263
Johan Rockstrom: Let the environment guide our development,RgqtrlixYR4,4695,438044,274
His Holiness the Karmapa: The technology of the heart,OkKhI6-t40w,2110,198143,504
Derek Sivers: Keep your goals to yourself,NHopJHSlVo4,34261,1957918,844
Rachel Sussman: The world's oldest living things,Oa82WNk0mis,1451,145927,198
Sugata Mitra: The child-driven education,dk60sYrU2RU,12338,989428,708
Alwar Balasubramaniam: Art of substance and absence,rAA8mMQi0is,180,26979,42
Carne Ross: An independent diplomat,g2J6YOiLNr4,435,38015,64
Ben Cameron: Why the live arts matter,pbIas5MAQn0,190,24742,17
Seth Godin: This is broken,s-gA5pTipNY,2,111,0
Rob Dunbar: Discovering ancient climates in oceans and ice,awjLIYNS_Pw,6,2458,2
Chris Anderson: How web video powers global innovation,M-3P_i4k2Hk,4,279,0
Jessa Gamble: Our natural sleep cycle is nothing like what we do now,-Z-vyLHi2us,3769,596781,337
Nicholas Christakis: How social networks predict epidemics,L-dPxGLesE4,899,93926,147
Caroline Phillips: Hurdy-gurdy for beginners,bdEF9WEiO5g,3075,302251,353
Christien Meindertsma: How pig parts make the world turn,BRETz2F-heQ,1464,182597,225
Steven Johnson: Where good ideas come from,0af00UcTO-c,13337,1670502,423
Mitchell Besser: Mothers helping mothers fight HIV,I9tB6Q5bmcQ,145,18607,29
Annie Lennox: Why I am an HIV/AIDS activist,1fZ4XOnnh1c,391,38569,78
Fabian Hemmert: The shape-shifting future of the mobile phone,QuI-7J59_Yw,608,58332,212
Julian Treasure: Shh! Sound health in 8 steps,ELgvDMTKyBE,1496,130494,179
Tim Birkhead: The early birdwatchers,d0U42zwolV4,11,609,0
Gary Wolf: The quantified self,OrAo8oBBFIo,387,71303,108
Sebastian Seung: I am my connectome,HA7GwKXfJB0,4480,253003,281
Inge Missmahl: Bringing peace to the minds of Afghanistan,Jc2F3-nawnI,234,23805,47
Mechai Viravaidya: How Mr. Condom made Thailand a better place for life and love,EL9TBKSdHXU,1213,88641,206
Eben Bayer: Are mushrooms the new plastic?,zmDENxTPn8Q,2356,168855,310
Tim Jackson: An economic reality check,NZsp_EdO2Xk,2017,223955,312
Barbara Block: Tagging tuna in the deep ocean,ufJ7sOtuFd0,229,24879,54
Hans Rosling: The good news of the decade? We're winning the war against child mortality,xVBNT7phYsg,191,32410,13
Stacey Kramer: The best gift I ever survived,PKbet4RdSo4,1780,234353,332
Stefano Mancuso: The roots of plant intelligence,AIfwFLDXFyQ,1489,103317,193
Melinda Gates: What nonprofits can learn from Coca-Cola,GlUS6KE67Vs,2512,320785,445
Peter Haas: Haiti's disaster of engineering,b98Iw_AeGQg,234,24376,55
Natalie Jeremijenko: The art of the eco-mindshift,cI_RvjodH4Y,38,4150,1
Ze Frank: My web playroom,3gSSNHO1dDs,12766,527486,746
Joel Burns: A message to gay teens: It gets better,ax96cghOnY4,34115,3154664,10795
"Jessica Jackley: Poverty, money -- and love",Cqj0sgrNL10,1801,163195,324
Heribert Watzke: The brain in your gut,bkeBjP_9ZR4,2086,232268,195
Dianna Cohen: Tough truths about plastic pollution,fddYApFEWfY,870,117175,237
Patrick Chappatte: The power of cartoons,XzNLfw5lS4A,726,66095,87
"David Byrne, Ethel + Thomas Dolby: ""(Nothing But) Flowers"" with string quartet",zjPtuhEJQb4,1662,167486,155
R.A. Mashelkar: Breakthrough designs for ultra-low-cost products,z_XchYY3bnU,540,46320,96
Joseph Nye: Global power shifts,796LfXwzIUk,3343,282015,219
Barton Seaver: Sustainable seafood? Let's get smart,GAMR5RD_LJo,227,26185,74
Shimon Steinberg: Natural pest control ... using bugs!,PxQcnxSbivQ,446,44055,97
Miwa Matreyek: Glorious visions in animation and performance,ViZBwbzOcC8,994,98899,106
Tom Chatfield: 7 ways games reward the brain,KyamsZXXF2w,2371,204239,304
David Bismark: E-voting without fraud,izddjAp_N4I,1330,69960,310
Greg Stone: Saving the ocean one island at a time,ZuCtZJGcEMU,294,64376,40
Gero Miesenboeck: Re-engineering the brain,EZ_f3Fc0ZRA,900,52186,176
Andrew Bird: A one-man orchestra of the imagination,TrwaDlrXB6w,6784,461943,414
Emily Pilloton: Teaching design for change,aiIxdFBA0Sw,736,85827,57
Stefan Wolff: The path to ending ethnic conflicts,UfM7t_oqNDw,287,36704,65
Aaron Huey: America's native prisoners of war,8tEuaj4h8dw,2819,236043,347
Auret van Heerden: Making global labor fair,okQXrB7y_Aw,628,139383,104
Eric Berlow: Simplifying complexity,UB2iYzKeej8,1533,171406,138
Conrad Wolfram: Teaching kids real math with computers,60OVlfAUPJg,3938,356834,508
Denis Dutton: A Darwinian theory of beauty,PktUzdnBqWI,7130,659212,787
Shimon Schocken: What a bike ride can teach you,D089t_F9yUU,245,36106,63
John Hardy: My green school dream,HD4bpztESWw,1233,110665,128
Kristina Gjerde: Making law on the high seas,EhM56Fk2aFk,150,18577,32
Kim Gorgens: Protecting the brain against concussion,1Wmjeu0YqPk,60,19928,8
"Zainab Salbi: Women, wartime and the dream of peace",SS8T-f2srSw,959,66313,159
Jason Fried: Why work doesn't happen at work,5XD2kNopsUs,10184,1112379,645
Dan Phillips: Creative houses from reclaimed stuff,owbfNJMumEs,805,52765,23
Birke Baehr: What's wrong with our food system,F7Id9caYw-Y,17579,2171089,2401
"William Ury: The walk from ""no"" to ""yes""",Hc6yi_FtoNo,7219,737615,376
Marcel Dicke: Why not eat insects?,O6GimGZz6a8,1515,191306,476
Bart Weetjens: How I taught rats to sniff out land mines,9IRv3TOjE1I,1100,96143,111
Arthur Potts Dawson: A vision for sustainable restaurants,eJ89At9Xxws,589,87962,59
Halla Tómasdóttir: A feminine response to Iceland's financial crash,dsmgvrcH94U,445,36075,188
Tony Porter: A call to men,td1PbsV6B80,14290,848464,1992
Kiran Bedi: A police chief with a difference,g_CSsL3it9Y,19272,885201,579
Hanna Rosin: New data on the rise of women,7ZymFMmpOa0,629,92284,1068
Diana Laufenberg: How to learn? From mistakes,up4hFj-jcTY,2755,316410,171
Rufus Griscom + Alisa Volkman: Let's talk parenting taboos,12OAr0lt4bk,1150,158510,171
Rachel Botsman: The case for collaborative consumption,AQa3kUJPEko,1741,216846,223
Ken Robinson: Changing education paradigms,zDZFcDGpL4U,135239,17744374,7068
Beverly + Dereck Joubert: Life lessons from big cats,Ht6TTA8z3MI,967,79258,85
Sheryl Sandberg: Why we have too few women leaders,18uDutylDa4,54210,3926288,4985
Majora Carter: 3 stories of local eco-entrepreneurship,jyYjI7zQlaA,478,39002,26
Brené Brown: The power of vulnerability,iCvmsMzlF7o,406333,22957498,7018
Barry Schwartz: Using our practical wisdom,IDS-ieLCmS4,1414,93310,119
Arianna Huffington: How to succeed? Get more sleep,nncY-MA1Iu8,6732,753824,606
Lesley Hazleton: On reading the Koran,xOnwG_GgAqg,34925,1552709,3856
Charles Limb: Your brain on improv,U4k5JFmahVY,744,41035,50
"Deborah Rhodes: A test that finds 3x more breast tumors, and why it's not available to you",DqbM1ZrpTQg,860,62229,146
Neil Pasricha: The 3 A's of awesome,uPE0G00XFV0,3848,321030,214
Jody Williams: A realistic vision for world peace,FD6CqD1kV8s,1442,142961,348
Amber Case: We are all cyborgs now,z1KJAXM3xYA,2412,187360,198
Thomas Thwaites: How I built a toaster -- from scratch,5ODzO7Lz_pw,3055,252662,229
"Elizabeth Lesser: Take ""the Other"" to lunch",AsSd2nmoKNA,1213,214611,214
Ali Carr-Chellman: Gaming to re-engage boys in learning,A3ZC9OyHWO4,96,5275,15
Naomi Klein: Addicted to risk,0ZhL7P7w3as,1140,91292,247
Charity Tillemann-Dick: Singing after a double lung transplant,6J1oZ2QaiOI,56,4309,1
Van Jones: The economic injustice of plastic,FjvjSlpJoqo,764,58075,195
Anders Ynnerman: Visualizing the medical data explosion,pqTkuaAykBw,683,42315,73
Heather Knight: Silicon-based comedy,Fu_kBW_KSms,603,96221,179
Martin Jacques: Understanding the rise of China,imhUmLtlZpw,32519,2412727,8232
Thomas Goetz: It's time to redesign medical data,bCGlWQnzDVE,620,57611,39
Liza Donnelly: Drawing on humor for change,cmlRinjYKfM,576,97700,123
"Ariel Garten: Know thyself, with a brain scanner",8rzlrItooG4,600,64434,256
Bruce Feiler: The council of dads,G2Y6Am46eVU,311,32448,50
Kate Orff: Reviving New York's rivers -- with oysters!,Y4xCpqVa-6I,375,30569,87
Dale Dougherty: We are makers,mlrB6npbwVQ,765,83321,93
Johanna Blakley: Social media and the end of gender,ZR4LdnFGzPk,665,110752,273
Christopher McDougall: Are we born to run?,b-iGZPtWXzE,29266,1988194,2620
"Suheir Hammad: Poems of war, peace, women, power",UAj1hsXp18c,1640,96816,152
Nigel Marsh: How to make work-life balance work,jdpIKXLLYYM,10091,912467,343
Cynthia Breazeal: The rise of personal robots,eAnHjuTQF3M,1403,160765,267
Hawa Abdi + Deqo Mohamed: Mother and daughter doctor-heroes,I6M54p8VQFA,1013,98071,145
Michael Pawlyn: Using nature's genius in architecture,3QZp6smeSQA,7375,400403,256
Geert Chatrou: A whistleblower you haven't heard,x4fgPHvsP2I,107,8671,10
Krista Tippett: Reconnecting with compassion,l5vZHuAtDZA,431,60334,109
Patricia Kuhl: The linguistic genius of babies,M-ymanHajN8,1019,126383,101
Jacqueline Novogratz: Inspiring a life of immersion,jbHpF7Ey_ck,578,48388,64
"Lisa Gansky: The future of business is the ""mesh""",IHBGLHgIWJM,227,37753,40
Madeleine Albright: On being a woman and a diplomat,7wzceILi774,930,56267,77
Noreena Hertz: How to use experts -- and when not to,WNTk29zXl4A,649,67836,264
Iain Hutchison: Saving faces: A facial surgeon's craft,l5ZJ6bK1EIc,415,29560,39
Elizabeth Lindsey: Curating humanity's heritage,IPBCxlx_SVk,245,52344,114
Danny Hillis: Understanding cancer through proteomics,scITIoJvMJ0,970,58176,96
"Ahn Trio: A modern take on piano, violin, cello",8uOIa3Ag_WY,938,128075,154
Wadah Khanfar: A historic moment in the Arab world,2XiDdnDCD34,204,22700,27
JR: My wish: Use art to turn the world inside out,0PAy1zBtTbw,10181,781229,249
Wael Ghonim: Inside the Egyptian revolution,SWvJxasiSZ8,1717,136609,168
Bill Gates: How state budgets are breaking US schools,jiUKpX09zo4,1579,171220,459
Anthony Atala: Printing a human kidney,bX3C201O4MA,2643,197608,225
Courtney E. Martin: This isn't her mother's feminism,SXKNA_vfHWs,1481,126748,1590
Sal Khan: Let's use video to reinvent education,nTFEUsudhfs,17866,1333226,1223
Deb Roy: The birth of a word,RE4ce4mexrU,4966,418917,267
Rob Harmon: How to keep rivers and streams flowing,YeJhVtJKJU8,211,23871,73
David Brooks: The social animal,rGfhahVBIQw,2710,214778,180
Janna Levin: The sound the universe makes,eLz9TvxGoKs,2806,198368,352
Mark Bezos: A life lesson from a volunteer firefighter,sAQfzHBpRsc,16365,1375986,587
Rogier van der Heide: Why light needs darkness,qKmuMQT5E6Y,713,51893,57
Sarah Kay: If I should have a daughter ...,0snNB1yS3IE,140914,6449335,3652
Hans Rosling: The magic washing machine,6sqnptxlCcw,3341,503744,0
"Isabel Behncke: Evolution's gift of play, from bonobo apes to humans",WjBwhwe5-cc,921,82996,190
Paul Root Wolpe: It's time to question bio-engineering,k2NQ2SFuSN4,1678,175774,201
Eythor Bender: Human exoskeletons -- for war and healing,BLnOPA7oMxY,1471,176704,382
Claron McFadden: Singing the primal mystery,l3uttHEZnTY,532,47653,114
Patricia Ryan: Don't insist on English!,sCTI5tcnEok,2000,187986,91
"Ralph Langner: Cracking Stuxnet, a 21st-century cyber weapon",CS01Hmjv1pQ,3663,314423,378
Handspring Puppet Co.: The genius puppetry behind War Horse,h7u6N-cSWtY,7421,953611,491
Sebastian Thrun: Google's driverless car,bp9KBrH8H04,3274,671998,679
"Eric Whitacre: A virtual choir 2,000 voices strong",2NENlXsW4pM,35301,1953469,1717
AnnMarie Thomas: Hands-on science with squishy circuits,5M3Dow20KlM,1100,125757,90
"Stanley McChrystal: Listen, learn ... then lead",FmpIMt95ndU,6075,697639,358
Chade-Meng Tan: Everyday compassion at Google,yTR4sAD_4qM,1207,108114,90
Morgan Spurlock: The greatest TED Talk ever sold,Y2jyjfcp1as,39667,5865384,1095
Mick Ebeling: The invention that unlocked a locked-in artist,Sktdq5z1N-4,1620,80113,96
Caroline Casey: Looking past limits,YyBk55G7Keo,7325,455511,483
Jackson Browne: A song inspired by the ocean,aze7aoPIKyI,58,5760,3
David Christian: The history of our world in 18 minutes,yqc9zX04DXs,103108,8561080,10332
Dave Meslin: The antidote to apathy,5Knz100ldLM,2237,107442,140
Roger Ebert: Remaking my voice,KNXOVpN8Wgg,2214,190341,734
Marcin Jakubowski: Open-sourced blueprints for civilization,6GEMkvT0DEk,3791,188868,236
"Susan Lim: Transplant cells, not organs",EU15c9hnftE,868,75179,130
Sam Richards: A radical experiment in empathy,kUEGHdQO7WA,6513,624530,768
Kathryn Schulz: On being wrong,QleRgTBMX88,9190,720995,505
John Hunter: Teaching with the World Peace Game,0_UTgoPUTLQ,3994,312858,311
Anil Ananthaswamy: What it takes to do extreme astrophysics,BwOd20Mv0hM,625,33934,57
Ric Elias: 3 things I learned while my plane crashed,8_zk2DpgLCs,22164,1627862,438
Harvey Fineberg: Are we ready for neo-evolution?,mdT01GAGECU,1177,49066,520
Bruce Schneier: The security mirage,wQJC2MMB8nA,1191,78735,86
Angela Belcher: Using nature to grow batteries,SFW0TEFKCxk,1420,60736,207
Mike Matas: A next-generation digital book,LV-RvzXGH2Y,1713,247521,321
Arvind Gupta: Turning trash into toys for learning,KnCqR2yUXoU,6662,512462,297
"Eli Pariser: Beware online ""filter bubbles""",B8ofWFx525s,21207,1614887,1021
"Aicha el-Wafi + Phyllis Rodriguez: The mothers who found forgiveness, friendship",bKQA6I4BA7o,837,88837,111
Carlo Ratti: Architecture that senses and responds,CijsvAGU6-c,1048,104096,60
Suzanne Lee: Grow your own clothes,3p3-vl9VFYU,5567,269748,444
Sean Carroll: Distant time and the hint of a multiverse,Y350oOiunf4,3425,209667,479
Louie Schwartzberg: The hidden beauty of pollination,eqsXc_aefKI,4339,536277,194
Paul Nicklen: Animal tales from icy wonderlands,Ra-lxoAUP5c,5504,285011,251
"Fiorenzo Omenetto: Silk, the ancient material of the future",MUc5Nv4Zprs,786,146313,24
Ron Gutman: The hidden power of smiling,2ovO5rCGNNY,683,73234,47
Amit Sood: Building a museum of museums on the web,zw9NXY3xOOI,591,38205,51
Leonard Susskind: My friend Richard Feynman,6Waurx8e-1o,20523,916562,645
Ed Boyden: A light switch for neurons,az9tHuOzOfA,612,24550,67
Thomas Heatherwick: Building the Seed Cathedral,oXbhTHaMwTw,3464,238731,118
Elliot Krane: The mystery of chronic pain,CZ0gIiwjk_0,4541,240113,550
"Edith Widder: The weird, wonderful world of bioluminescence",lKeDBpkrDUA,1490,128855,51
Terry Moore: How to tie your shoes,zAFcV7zuUDA,16630,2493960,1098
Improv Everywhere: Gotta share!,ooUqOwh-2LE,7684,547125,278
Aaron Koblin: Visualizing ourselves ... with crowd-sourced data,4v4XxlfVk3o,1705,146456,72
Bruce Aylward: How we'll stop polio for good,1GuSQFAMckQ,104,15359,24
Shirin Neshat: Art in exile,4YS3gGpnPe8,1389,115190,38
Mustafa Akyol: Faith versus tradition in Islam,5tUn_uoYKoE,1904,120575,690
"Robert Gupta + Joshua Roman: On violin and cello, ""Passacaglia""",lLGhrEHOjfs,1652,135001,187
Malcolm McLaren: Authentic creativity vs. karaoke culture,E-wtmV0fAAg,808,110684,99
Dennis Hong: Making a car for blind drivers,UReC9XwMjxc,155,21051,12
Stefan Sagmeister: 7 rules for making more happiness,eMVWSUeeg8A,1419,179851,156
Aaron O'Connell: Making sense of a visible quantum object,dvYYYlgVAao,2807,143379,373
Jessi Arrington: Wearing nothing new,SYwvyjIDk80,1845,186734,253
"Damon Horowitz: We need a ""moral operating system""",1aVGf4G72IA,173,24756,9
Jack Horner: Building a dinosaur from a chicken,0QVXdEOiCw8,19505,1252974,2785
Janet Echelman: Taking imagination seriously,9YekkGz1E2k,2196,190399,171
Paul Romer: The world's first charter city?,30kPKxGuHLA,738,48325,244
Alice Dreger: Is anatomy destiny?,59-Rn1_kWAA,1819,125935,249
JD Schramm: Break the silence for suicide attempt survivors,Hy4yby7ZAd0,2321,218558,331
Daniel Kraft: Medicine's future? There's an app for that,sNda62ZLN9o,507,45191,44
Shea Hembrey: How I became 100 artists,LpROaNue9GM,1723,127191,137
"Steve Keil: A manifesto for play, for Bulgaria and beyond",fT_XvLzNd0o,943,53458,125
Camille Seaman: Haunting photos of polar ice,iFfcwfiLfn0,572,68711,145
Onyx Ashanti: This is beatjazz,-0v7mTvJ8M4,1127,88138,195
Maya Beiser: A cello with many voices,R6X_IhgJLzA,338,28895,61
Bill Ford: A future beyond traffic gridlock,XNqm4Yvr0uM,458,27185,89
Daniel Tammet: Different ways of knowing,Pzd7ReqiQnE,11757,1019157,920
Jok Church: A circle of caring,vygS-FKXms4,476,32729,77
Honor Harger: A history of the universe in sound,mAAxykQH0Wo,449,40688,129
Joshua Walters: On being just crazy enough,ruvWiXowiZ8,2386,200713,241
Emiliano Salinas: A civil response to violence,WMahpWvAPWo,681,74481,210
Rajesh Rao: A Rosetta Stone for a lost language,a_-obTZO6pY,1167,65209,143
Dave deBronkart: Meet e-Patient Dave,oTxvic-NnAM,818,56184,78
Robert Hammond: Building a park in the sky,HuWMO3M1HVQ,1407,88728,84
Matt Cutts: Try something new for 30 days,UNP03fDSj1U,27149,2192498,576
Nathan Myhrvold: Cooking as never seen before,-vo01ldlTQc,1644,204182,252
Jonathan Drori: The beautiful tricks of flowers,YmVZ8zXJO48,1197,78908,132
Simon Lewis: Don't take consciousness for granted,Peu7eeGtmQ4,900,64759,203
Nina Tandon: Caring for engineered tissue,r_San-YZDT4,388,37639,66
Rebecca MacKinnon: Let's take back the Internet!,pFDoCLf96Kg,1090,52945,205
Maajid Nawaz: A global culture to fight extremism,EZwxKPv1CwA,1880,107282,340
"Tim Harford: Trial, error and the God complex",K5wCfYujRdE,5903,344870,383
Nadia Al-Sakkaf: See Yemen through my eyes,3LK3ONKo-WM,619,98310,162
"Mikko Hypponen: Fighting viruses, defending the net",cf3zxHuSM2Y,4284,271444,280
"Thandie Newton: Embracing otherness, embracing myself",uzKBGtf0i0M,7760,497752,586
Kevin Slavin: How algorithms shape our world,ENWVRcMGDoU,6367,443055,273
Markus Fischer: A robot that flies like a bird,Fg_JcKSHUtQ,28324,3551409,2854
Rory Stewart: Time to end the war in Afghanistan,dwU8eavPInw,2560,134874,585
Geoffrey West: The surprising math of cities and corporations,XyCY6mjWOPc,2410,172863,187
Paul Bloom: The origins of pleasure,RPicL1AWrs8,4656,199657,191
Josette Sheeran: Ending hunger now,CdxVbUja_pY,948,106175,252
Julian Treasure: 5 ways to listen better,cSohjlYQI2A,67779,4745443,1263
Adam Ostrow: After your final status update,D03n5dAmBSE,668,62668,154
Harald Haas: Wireless data from every light bulb,NaoSp4NpkGg,6289,808199,654
Mark Pagel: How language transformed humanity,ImQrUjlyHUg,2721,268080,406
Jessica Green: Are we filtering the wrong microbes?,7JsNH7A4qM0,452,44593,70
Philip Zimbardo: The demise of guys?,FMJgZ4s2E3w,6288,540832,1300
"Eve Ensler: Suddenly, my body",bHLgTUV0XWI,1702,115781,603
Alex Steffen: The shareable future of cities,mjDjbJJlqZ0,942,62338,100
Dyan deNapoli: The great penguin rescue,zwjLQgNd7XM,455,31441,88
Jeremy Gilley: One day of peace,04SEzifEsGg,1634,149746,183
Lucianne Walkowicz: Finding planets around other stars,4qrqvt8LMI8,0,13,0
Marco Tempest: The magic of truth and lies (and iPods),e_ndlO2SMIQ,1091,180561,35
Dan Ariely: Beware conflicts of interest,n8Y8FK8gonc,1217,143685,89
Svante Pääbo: DNA clues to our inner neanderthal,kU0ei9ApmsY,2413,147405,327
Julia Bacha: Pay attention to nonviolence,iYwAMccbhYs,1007,54259,323
Skylar Tibbits: Can we make things that make themselves?,emW1TQ290ec,662,75905,123
Joan Halifax: Compassion and the true meaning of empathy,dQijrruP9c4,4325,302607,363
Edward Tenner: Unintended consequences,a5G_mPCPpzk,97,20935,4
Sarah Kaminsky: My father the forger,OF2N6a3t6uY,771,51282,143
Lee Cronin: Making matter come alive,unNRCSj0igI,1178,78032,400
Raghava KK: Shake up your story,64fDIZiV-SM,1170,70543,108
Yasheng Huang: Does democracy stifle economic growth?,UR-uWwvpn5c,1186,81037,331
Misha Glenny: Hire the hackers!,6gSwRHScq6M,1472,112267,274
Kate Hartman: The art of wearable communication,X7ui-iAp8Pc,606,46261,259
Richard Resnick: Welcome to the genomic revolution,nAljnpoKVLw,59,3443,6
Lauren Zalaznick: The conscience of television,fIqABIcKIvs,870,97454,371
Sasha Dichter: The Generosity Experiment,dhEc5biZOrg,110,24256,2
Niall Ferguson: The 6 killer apps of prosperity,xpnFeyMGUs8,4182,359387,532
Jean-Baptiste Michel + Erez Lieberman Aiden: What we learned from 5 million books,50MpgVJ8xAE,1235,49326,51
Amy Lockwood: Selling condoms in the Congo,uqc56GMOYWY,491,58928,114
Elizabeth Murchison: Fighting a contagious cancer,uWWFXpldgMQ,91,4690,7
"Sunni Brown: Doodlers, unite!",7fx0QcHyrFk,3018,247340,164
Abraham Verghese: A doctor's touch,sxnlvwprf_c,7337,462208,222
Geoff Mulgan: A short intro to the Studio School,NMr3ShT_Kl4,728,54182,62
Jarreth Merz: Filming democracy in Ghana,iRsCUJxIrVM,278,26940,42
Ben Goldacre: Battling bad science,h4MhbkWJzKk,12920,802193,638
Danielle de Niese: A flirtatious aria,Nx02V8GBKUs,423,60844,161
Yang Lan: The generation that's remaking China,WJoSHQvniDY,156,15046,19
Christoph Adami: Finding life we can't imagine,p89ZirjNPMQ,50,2799,3
"Graham Hill: Less stuff, more happiness",L8YJtvHGeUU,11409,1051591,504
Steve Jobs: How to live before you die,lcZDWo6hiuI,3048,312181,64
Mike Biddle: We can recycle plastic,DbnaWoEHiMM,100,5326,3
Charles Hazlewood: Trusting the ensemble,R5bn9EvOQVg,210,39130,60
Alison Gopnik: What do babies think?,cplaWsiu7Yg,3916,406740,255
Richard Seymour: How beauty feels,YiXd_9DFCOQ,2184,138006,144
Ian Ritchie: The day I turned down Tim Berners-Lee,EnMQQH1-itg,32,1933,2
Pamela Meyer: How to spot a liar,P_6vDLq64gE,248700,23686971,15668
Jae Rhim Lee: My mushroom burial suit,_7rS_d1fiUc,4176,265845,480
Bunker Roy: Learning from a barefoot movement,6qqqVwM6bMM,7723,554013,344
Justin Hall-Tipping: Freeing energy from the grid,6IxcsokEGx0,47,2620,6
Guy-Philippe Goldstein: How cyberattacks threaten real-world peace,_ParhjlvHbg,11,2034,1
"Todd Kuiken: A prosthetic arm that ""feels""",MLvwTlbj1Y8,2003,175674,232
Nathalie Miebach: Art made of storms,MbhNaj88uL4,589,63308,96
Richard Wilkinson: How economic inequality harms societies,Ndh58GGCTQo,610,62840,75
Iain McGilchrist: The divided brain,DiPrM0DNI8w,1885,80118,138
Malcolm Gladwell: The strange tale of the Norden bombsight,HpiZTvlWx2g,17016,1689445,2617
Jay Bradner: Open-source cancer research,wOiKRVH0nQ8,1183,57903,136
Béatrice Coron: Stories cut from paper,cAGFKYNrQgY,658,70232,78
"Hasan Elahi: FBI, here I am!",wAdwurHhv-I,1308,104668,222
"Paul Zak: Trust, morality -- and oxytocin?",rFAdlU2ETjU,6934,354458,464
Anna Mracek Dietrich: A plane you can drive,snHS-UcG--E,583,59245,171
Daniel Wolpert: The real reason for brains,7s0CpRfyYp8,5594,347750,349
"Marco Tempest: Augmented reality, techno-magic",fZ8eyWBQmfU,1428,379897,155
Paul Lewis: How mobile phones helped solve two murders,zRAdrcLyoFQ,1,21,0
Sandra Fisher-Martins: The right to understand,tP2y0vU7EG8,395,30199,17
Martin Hanczyc: The line between life and not-life,dySwrhMQdX4,3270,149412,877
Aparna Rao: High-tech art (with a sense of humor),kJLDl2uDNaA,970,33679,58
Ben Kacyra: Ancient wonders captured in 3D,a7t61U6BBcs,1013,66453,92
Allan Jones: A map of the brain,iNPsDky1z94,1774,166210,120
Charlie Todd: The shared experience of absurdity,ooUqOwh-2LE,7684,547125,278
Roger McNamee: 6 ways to save the internet,TKPgylvQ_qg,0,16,0
