video_name,video_id,like_count,view_count,comment_count
Jill Tarter: Join the SETI search,EszGIvRdgTE,2234,181870,537
Ed Ulbrich: How Benjamin Button got his face,52JqQkx_VDc,345,24316,18
Charles Moore: Seas of plastic,M7K-nq0xkWY,1053,222866,144
Richard Pyle: A dive into the reef's Twilight Zone,19Hj93IgbeQ,546,56901,35
Miru Kim: My underground art explorations,IpPUV-a71MM,2,65,0
Evan Williams: The voices of Twitter users,3n_EitPb7BU,459,101374,77
Brenda Laurel: Why not make video games for girls?,y6FT80ZoVJY,260,62822,179
Willie Smits: How to restore a rainforest,3vfuCPFb8wk,2638,160580,212
Nalini Nadkarni: Conserving the canopy,19bXtxydlqc,25,4136,0
Mike Rowe: Learning from dirty jobs,IRVdiHu1VCc,145554,7324917,5895
Eric Lewis: Piano jazz that rocks,OFSNR8t5KdY,1513,174235,451
Don Norman: 3 ways good design makes you happy,RlQEoJaLQRA,18574,1061327,224
Pattie Maes + Pranav Mistry: Meet the SixthSense interaction,nZ-VjUKAsao,5688,2216243,693
Aimee Mullins: My 12 pairs of legs,JQ0iMulicgg,10818,1162705,627
Stuart Brown: Play is more than just fun,HHwXlcHcTHc,3462,408182,182
Tim Berners-Lee: The next web,OM6XIICm_qo,5000,446625,402
"Dan Dennett: Cute, sexy, sweet, funny",TzN-uIVkfjg,2842,275759,714
Dan Ariely: Our buggy moral code,onLPDegxXx8,3718,281630,168
Adam Savage: My obsession with objects and the stories they tell,rEg-ZNB3qyI,5923,292883,228
Bruce McCall: What is retro-futurism?,fOk6HQaNpdE,1467,87860,69
Kamal Meattle: How to grow fresh air,gmn7tjSNyAA,7615,501584,301
Saul Griffith: High-altitude wind energy from kites!,fC_y1u9jQ2w,629,64897,46
Jacqueline Novogratz: An escape from poverty,oD06XPtmLZY,983,115749,62
David Pogue: Cool tricks your phone can do,mJxA8eIWQUc,745,100684,113
John Wooden: The difference between winning and succeeding,0MM-psvqiG8,31071,2787041,1058
Nathan Wolfe: The jungle search for viruses,mMEPV-NTeZs,732,315063,238
C.K. Williams: Poetry of youth and age,OV_N_eFTaso,195,22907,41
Jacek Utko: Can design save newspapers?,zHuH8P_Vqc0,693,86100,63
Ueli Gegenschatz: Extreme wingsuit flying,eXp5QSfXLQU,1101,338721,232
"Christopher C. Deam: The Airstream, restyled",ZBWwREYWzbU,139,23168,31
P.W. Singer: Military robots and the future of war,M1pr683SYFk,1539,234007,476
"Nathaniel Kahn: Scenes from ""My Architect""",YWZmqpQi2y4,410,57182,40
Bruce Bueno de Mesquita: A prediction for the future of Iran,ts5MKtXNpMQ,1131,143018,310
"Bonnie Bassler: How bacteria ""talk""",KXWurAmtf78,9121,657176,427
Emily Levine: A theory of everything,grtGI7QpPdw,2327,441934,160
Renny Gleeson: Our antisocial phone tricks,-mQJYte4T2Q,529,54618,54
Shai Agassi: A new ecosystem for electric cars,FcoJt2KLC9k,1317,127655,332
Gregory Stock: To upgrade is human,hVsnkRoYfX0,490,44566,201
JoAnn Kuchera-Morin: Stunning data visualization in the AlloSphere,u-D-zEToJQ4,526,62118,101
"Tim Ferriss: Smash fear, learn anything",iPE2_iCCo0w,16435,1096524,526
Matthew Childs: 9 life lessons from rock climbing,VIgzTLDyObo,515,83064,41
Margaret Wertheim: The beautiful math of coral,soxS8VtMi9E,519,32786,83
Niels Diffrient: Rethinking the way we sit down,UAq4yBdSYZs,517,62091,86
Erik Hersman: Reporting crisis via texting,-FcWsKT_oe0,0,514,0
Nate Silver: Does racism affect how you vote?,0i_M3Bd_7Ao,1691,107970,441
Ben Katchor: Comics of bygone New York,PDstyZySb8s,50,1867,3
Alex Tabarrok: How ideas trump crises,Ip2-Qa50uBI,736,66938,213
Michael Merzenich: Growing evidence of brain plasticity,Z41BTeAU7DI,1362,153251,179
Sarah Jones: A one-woman global village,sucza6EOIf0,18220,1377876,1140
Laurie Garrett: Lessons from the 1918 flu,2lJvr5UL2pQ,3118,199717,672
Brian Cox: What went wrong at the LHC,YnAVjkuQz-Y,4870,622428,1051
Sean Gourley: The mathematics of war,emn28FrJ6CI,872,102529,175
Mae Jemison: Teach arts and sciences together,6Vy0ncmUvUw,835,74143,90
Tom Shannon: Anti-gravity sculpture,7zT7iKmfrCU,5210,745850,591
Al Gore: What comes after An Inconvenient Truth?,xgZC6da4mco,25576,782311,3484
Louise Fresco: We need to feed the whole world,UZmXwOgNq7c,554,68037,202
Seth Godin: The tribes we lead,589tH-wtCak,5034,291810,184
Eric Lewis: Chaos and harmony on piano,XleLQUcOVsc,381,42215,193
"Hans Rosling: Insights on HIV, in stunning data visuals",3qRtDnsnSwk,2081,252335,373
Nandan Nilekani: Ideas for India's future,2cYDyMnL4M8,2333,326476,197
Naturally 7: A full-band beatbox,JNJlhtNpuiU,3963,646128,274
Ray Anderson: The business logic of sustainability,iP9QF_lBOyA,1835,256536,94
Dan Ariely: Are we in control of our own decisions?,9X68dm92HVI,33415,2097193,885
Mary Roach: 10 things you didn't know about orgasm,7jx0dTYUO5E,218753,21838423,8176
Carolyn Porco: Could a Saturn moon harbor life?,TRQdHrGuVgI,242,24597,11
Yves Behar: A supercharged motorcycle design,5XnR-w682bw,221,56749,115
Joachim de Posada: Don't eat the marshmallow!,M0yhHKWUa0g,5535,1026852,335
Jay Walker: The world's English mania,ZpILR21GWao,3817,565776,180
"Michelle Obama: A passionate, personal case for education",F73O3_im0Wo,1278,141619,208
